"objectid","standort","ortsbezeichnung","quartier","stadtkreis","baujahr","historisches_baujahr","art_eigentuemer","eigentuemer","wasserart","brunnennummer","brunnenart","art","architekt_bildhauer","steinhauer","material_trog","material_saeule","material_figur","abgestellt","datum_abstellung","grund_abstellung","hkoord","vkoord","bemerkung1","bemerkung2","foto","druckzone","u_aks_nummer","datum_wiederinbetriebnahme","datum_aenderung","geometry"
"158","Kilchbergstr. nach Nr. 11 /Kilchbergsteig","Kirche","Enge/Wollishofen/Leimbach","2","1919","","Privat","unbekannt","Quellwasser","947","privater Brunnen","privat","","","","","","nein","","","2682669.956","1244164.888","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/947.jpg","Brunnennetz","{804B3959-29D4-4BCD-B2BB-DD5E9977928F}","","202308241444","POINT (2682670 1244164.9)"
"160","Schulhaus Im Lee","Kilchbergstrasse 50","Enge/Wollishofen/Leimbach","2","1952","1953","Privat","IMMO","Züriwasser","542","Brunnen in städtischer Liegenschaft","privat","","","Beton","","","nein","","","2682889.922","1243736.372","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{E06F22B8-5985-49DA-9E95-1C818752CB6B}","","202308241444","POINT (2682890 1243736.4)"
"164","Widmerstrasse 8","Ortsmuseum, Haus Sasella","Enge/Wollishofen/Leimbach","2","1973","","städtisch","IMMO","Quellwasser","778","Brunnen in städtischer Liegenschaft","öffentlich","","","Muschelkalk","Muschelkalk","Guss","nein","","","2683025.051","1243610.409","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/778.jpg","Brunnennetz","{C1431C10-8AE6-478F-87BB-BFBF622EE1C9}","","202308241444","POINT (2683025 1243610.4)"
"169","Albisstrasse 169, 171","Trinkbrunnen SWW Moos","Enge/Wollishofen/Leimbach","2","1913","1974","städtisch","WVZ","Züriwasser","950.1","Brunnen in städtischer Liegenschaft","öffentlich","E. Gisel, Zürich","E. Gisel, Zürich","Granit","","","nein","","","2682563.992","1242709.191","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/950.1.jpg","HZ Albisrieden-Leimbach","{55D1EE31-71D1-4FD0-882B-E73AF6618911}","","202308241444","POINT (2682564 1242709.2)"
"170","Albisstrasse 169, 171","Springbrunnen SWW Moos","Enge/Wollishofen/Leimbach","2","","1974","städtisch","WVZ","Züriwasser","950.2","Brunnen in städtischer Liegenschaft","öffentlich","","","Beton","","","nein","","","2682528.903","1242700.67","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/950.2.jpg","HZ Albisrieden-Leimbach","{9B26E211-C282-4D4A-A144-40D5C46A6C70}","","202308241444","POINT (2682529 1242700.6)"
"171","Gablerstrasse 71/Moosstrasse 40","Schulhaus Entlisberg","Enge/Wollishofen/Leimbach","2","","","städtisch","IMMO","Züriwasser","538.2","Brunnen in städtischer Liegenschaft","öffentlich","","","Gemauert","","","nein","","","2682316.243","1243523.548","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","HZ Albisrieden-Leimbach","{0402C202-88EC-487C-9333-CDD935737F70}","","202308241444","POINT (2682316.2 1243523.5)"
"172","Gablerstrasse 71/Moosstrasse 40","Schulhaus Entlisberg","Enge/Wollishofen/Leimbach","2","","","städtisch","IMMO","Züriwasser","538.1","Brunnen in städtischer Liegenschaft","öffentlich","","","Gemauert","","","nein","","","2682262.74","1243572.071","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","HZ Albisrieden-Leimbach","{6D1035E7-AB39-4F19-AA3C-6A7437042F93}","","202308241444","POINT (2682262.8 1243572.1)"
"183","Bachstrasse 7","GZ Wollishofen","Enge/Wollishofen/Leimbach","2","1961","1962","städtisch","IMMO","Züriwasser","545","Brunnen in städtischer Liegenschaft","öffentlich","","","Kalkstein","","","nein","","","2682918.806","1244394.389","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{A4FBF858-6C72-42DD-895B-719C79A2D4E4}","","202308241444","POINT (2682918.8 1244394.4)"
"186","Kilchbergstrasse 23","Schulhaus Wollishofen","Enge/Wollishofen/Leimbach","2","","1957","städtisch","IMMO","Züriwasser","528","Brunnen in städtischer Liegenschaft","öffentlich","","","Granit","","","nein","","","2682777.515","1244085.619","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{8D55023C-CC1B-48CB-B4B8-407DF28A16A2}","","202308241444","POINT (2682777.5 1244085.6)"
"217","Erligatterweg 45-51","Schulhaus Neubühl","Enge/Wollishofen/Leimbach","2","","","städtisch","unbekannt","Züriwasser","1020","Brunnen in städtischer Liegenschaft","öffentlich","","","","","","nein","","","2682695.922","1243006.579","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","HZ Albisrieden-Leimbach","{A1106794-558F-460D-AA48-EA7F3A48D9AB}","","202308241444","POINT (2682696 1243006.6)"
